Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
L'OREAL - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:OR@F(ENERDP0961);216.26;12.41;228.46;NA;NA;NA;278.42;297.17;383.69;348.84;NA
ASML HOLDING - DIVIDEND YIELD;H:ASML(DY);0.85;0.68;1.08;0.8;0.75;0.82;1.12;0.78;0.95;0.89;0.71
ASML HOLDING;H:ASML(P);24.3459;30.5291;43.9423;66.18;81.59;84.97;93.73;153.55;147.74;249;358.1001
ASML HOLDING - HISTORICAL VOLATILITY 5 YEARS;400E(H:ASML);0.3308;0.3406;0.3409;0.2295;0.2406;0.2551;0.2451;0.2437;0.2391;0.2354;0.2702
ASML HOLDING - RETURN ON EQUITY - TOTAL (%);H:ASML(WC08301);44.93;47.18;30.52;18.63;16.58;17.45;16.17;20.67;23.12;21.39;NA
ASML HOLDING - Environment Pillar Score;H:ASML(ENSCORE);62.55;45.87;45.77;43.52;41.56;39.65;46.44;62.16;60.65;64.14;NA
ASML HOLDING NV - RESEARCH & DEVELOPMENT/SALES;H:ASML(WC08341);11.23;9.94;12.12;16.01;17.69;16.64;15.11;12.77;13.42;15.6;NA
ASML HOLDING NV - Governance Pillar Score;H:ASML(CGSCORE);62.93;67.87;71.91;57.07;54.28;42.63;37.76;43.78;68.92;63.89;NA
ASML HOLDING NV - Social Pillar Score;H:ASML(SOSCORE);65.31;65.54;61.23;63.18;89.16;82.59;82.82;82.3;92.03;90.68;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
SAP - DIVIDEND YIELD;D:SAP(DY);1.38;1.36;1.33;1.39;1.88;1.52;1.49;1.3;1.53;1.23;1.57
SAP;D:SAP(P);36.35;44.215;56.186;61.09;53.32;72.583;76.942;96.48;91.32;122.32;100.78
SAP - HISTORICAL VOLATILITY 5 YEARS;400E(D:SAP);0.2759;0.2881;0.2893;0.2226;0.2202;0.2263;0.2008;0.1791;0.1743;0.1791;0.2844
SAP - RETURN ON EQUITY - TOTAL (%);D:SAP(WC08301);19.81;30.55;21.02;22.05;18.46;14.33;14.69;15.49;15.03;11.15;NA
SAP - Environment Pillar Score;D:SAP(ENSCORE);83.31;81.3;81.33;81.35;76.32;77.54;78.93;76.96;76.84;78.63;NA
SAP - RESEARCH & DEVELOPMENT/SALES;D:SAP(WC08341);13.87;13.62;13.89;13.57;13.27;13.68;13.75;14.24;14.63;15.54;NA
SAP - Governance Pillar Score;D:SAP(CGSCORE);81.91;95.48;94.8;86.98;86.18;89.15;87.5;91.82;93.93;94.39;NA
SAP - Social Pillar Score;D:SAP(SOSCORE);83.77;96.62;97.12;97.04;96.41;94.76;98.17;97.96;97.74;97.59;NA
SAP - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:SAP(ENERDP0961);13.43;315.31;292.7;14.06;17.18;4.99;4.41;3.14;2.85;3.08;NA
PROSUS - DIVIDEND YIELD;H:PROS(DY);NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
PROSUS;H:PROS(P);NA;NA;NA;NA;NA;NA;NA;NA;NA;61.47;88.14
PROSUS - HISTORICAL VOLATILITY 5 YEARS;400E(H:PROS);NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0092;0.4624
PROSUS - RETURN ON EQUITY - TOTAL (%);H:PROS(WC08301);NA;NA;NA;NA;NA;NA;NA;NA;64.62;17.08;13.59
PROSUS - Environment Pillar Score;H:PROS(ENSCORE);NA;NA;NA;NA;NA;NA;NA;NA;NA;10.15;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
PROSUS - Governance Pillar Score;H:PROS(CGSCORE);NA;NA;NA;NA;NA;NA;NA;NA;NA;13.85;NA
PROSUS - Social Pillar Score;H:PROS(SOSCORE);NA;NA;NA;NA;NA;NA;NA;NA;NA;39.44;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
SANOFI - DIVIDEND YIELD;F:SQ@F(DY);4.97;5.02;3.99;3.47;3.76;3.56;3.78;3.9;3.82;3.7;3.68
SANOFI;F:SQ@F(P);48.665;49.835;66.46;79.91;74.44;80.11;77.59;75.97;79.23;83.08;85.53
SANOFI - HISTORICAL VOLATILITY 5 YEARS;400E(F:SQ@F);0.2469;0.2596;0.2601;0.205;0.2022;0.209;0.2118;0.2094;0.2061;0.1948;0.1975
SANOFI - RETURN ON EQUITY - TOTAL (%);F:SQ@F(WC08301);10.78;10.42;8.75;6.51;7.77;7.51;8.15;14.59;7.36;4.76;NA
SANOFI - Environment Pillar Score;F:SQ@F(ENSCORE);68.54;83.64;87.58;88.09;84.24;85.27;85.84;84.24;83.08;84.14;NA
SANOFI - RESEARCH & DEVELOPMENT/SALES;F:SQ@F(WC08341);14.45;14.36;14.05;14.28;14.11;14.54;14.86;15.05;16.51;15.98;NA
SANOFI - Governance Pillar Score;F:SQ@F(CGSCORE);64.16;74.59;75.59;80.61;78.28;70.21;68.76;63.49;81.08;79.92;NA
SANOFI - Social Pillar Score;F:SQ@F(SOSCORE);79.74;91.58;92.67;93.55;92.87;92.56;93.11;94.17;94.21;95.73;NA
SANOFI - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:SQ@F(ENERDP0961);NA;2.31;22.03;37.55;41.13;260.31;245.33;173.31;148.53;145.13;NA
SIEMENS - DIVIDEND YIELD;D:SIE(DY);3.24;4.09;3.89;3.11;3.73;3.78;3.25;3.1;3.65;3.39;3.12
SIEMENS;D:SIE(P);72.953;64.113;67.374;87.151;79.753;83.497;97.174;104.795;91.355;103.697;112.24
SIEMENS - HISTORICAL VOLATILITY 5 YEARS;400E(D:SIE);0.3278;0.3437;0.3182;0.2305;0.2239;0.2294;0.1984;0.1885;0.1956;0.204;0.3169
SIEMENS - RETURN ON EQUITY - TOTAL (%);D:SIE(WC08301);14.18;20.53;14.32;14.53;18.19;22.26;15.87;15.64;13.11;11.06;9.54
SIEMENS - Environment Pillar Score;D:SIE(ENSCORE);88.79;77.57;76.46;76.46;85.71;79.97;82.41;85.11;87.49;87.21;NA
SIEMENS - RESEARCH & DEVELOPMENT/SALES;D:SIE(WC08341);5.06;5.34;5.41;5.65;5.65;5.93;5.94;6.22;6.69;6.53;8.05
SIEMENS - Governance Pillar Score;D:SIE(CGSCORE);95.33;90.38;91.37;88.19;91.65;88.22;89.92;84.38;88.16;93.06;NA
SIEMENS - Social Pillar Score;D:SIE(SOSCORE);87.49;87.3;79.55;78.66;77.35;78.68;80.06;76.51;72.5;74.3;NA
SIEMENS - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:SIE(ENERDP0961);4.58;4.87;4.3;4.04;NA;NA;187.34;169.34;160.65;169.1;NA
ANHEUSER-BUSCH INBEV - DIVIDEND YIELD;B:ABI(DY);0.67;1.4;1.39;1.4;2.08;2.37;2.72;2.58;4.09;2.49;0.87
ANHEUSER-BUSCH INBEV;B:ABI(P);42.365;42.77;64.6;77.75;88.39;114;96.74;97.77;68.5;72.15;57.25
ANHEUSER-BUSCH INBEV - HISTORICAL VOLATILITY 5 YEARS;400E(B:ABI);0.3312;0.329;0.3209;0.2151;0.1551;0.183;0.1981;0.1921;0.212;0.228;0.3964
ANHEUSER-BUSCH INBEV - RETURN ON EQUITY - TOTAL (%);B:ABI(WC08301);12.84;15.16;18.67;31.9;17.9;18.72;2.11;10.95;6.35;13.26;NA
ANHEUSER-BUSCH INBEV - Environment Pillar Score;B:ABI(ENSCORE);63.64;57.06;53.95;56.42;54.14;64.81;57.7;53.83;52.08;52.62;NA
ANHEUSER BUSCH IN - RESEARCH & DEVELOPMENT/SALES;B:ABI(WC08341);0.51;0.45;0.46;0.43;0.46;0.47;0.54;0.49;0.52;0.56;NA
ANHEUSER BUSCH IN - Governance Pillar Score;B:ABI(CGSCORE);76.6;69.36;77.07;69.77;72.6;63.37;63.56;82.99;85.85;94.19;NA
ANHEUSER BUSCH IN - Social Pillar Score;B:ABI(SOSCORE);29.68;31.19;32.42;41.16;50.63;40.37;47.54;48.21;45.08;44.63;NA
ANHEUSER BUSCH IN - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;B:ABI(ENERDP0961);0.34;0.24;2.12;NA;NA;NA;NA;463.65;474.73;505.26;NA
TOTAL - DIVIDEND YIELD;F:FP(DY);5.93;6.05;6.27;5.33;5.35;5.45;5.63;5.4;5.16;5.24;7.83
TOTAL;F:FP(P);38.45;37.705;36.975;44.24;45.575;44.775;43.37;46.3;49.995;49.275;34.235
TOTAL - HISTORICAL VOLATILITY 5 YEARS;400E(F:FP);0.2614;0.2666;0.257;0.2034;0.2039;0.2211;0.2185;0.2039;0.1998;0.1983;0.3603
TOTAL - RETURN ON EQUITY - TOTAL (%);F:FP(WC08301);18.72;19.11;15.17;11.74;4.35;5.77;6.08;7.84;9.75;9.53;NA
TOTAL - Environment Pillar Score;F:FP(ENSCORE);88.67;90.05;90.12;91.53;92.89;93.29;94.37;93.04;90.87;90.11;NA
TOTAL - RESEARCH & DEVELOPMENT/SALES;F:FP(WC08341);0.51;0.47;0.44;0.55;0.59;0.68;0.82;0.61;0.54;0.55;NA
TOTAL - Governance Pillar Score;F:FP(CGSCORE);32.33;71.3;74.3;65.27;67.26;60.72;74.19;77.69;75.61;83.94;NA
TOTAL - Social Pillar Score;F:FP(SOSCORE);61.85;93.25;87.86;89.59;93.4;94.18;95.93;93.63;83.51;83.48;NA
TOTAL - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:FP(ENERDP0961);3371.74;2815.88;3072.73;2330.62;2028.13;2858.72;3283.17;2682.78;2172.66;2326.25;NA
ALLIANZ - DIVIDEND YIELD;D:ALV(DY);4.62;6.14;4.87;3.5;4.05;4.32;4.82;3.84;4.22;4.12;4.98
ALLIANZ;D:ALV(P);88.73;73.3;92.4;128.394;130.905;158.382;151.416;197.669;189.4;218.6;192.88
ALLIANZ - HISTORICAL VOLATILITY 5 YEARS;400E(D:ALV);0.3422;0.3672;0.3719;0.2967;0.2518;0.2618;0.226;0.1982;0.1847;0.1743;0.3285
ALLIANZ - RETURN ON EQUITY - TOTAL (%);D:ALV(WC08301);13.57;6.35;12.28;14.26;13.72;13.29;12.71;11.27;13.79;14.22;NA
ALLIANZ - Environment Pillar Score;D:ALV(ENSCORE);93.58;96.33;96.21;95.64;94.21;94.4;92.74;90.12;88.08;85.27;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
ALLIANZ - Governance Pillar Score;D:ALV(CGSCORE);81.85;87.56;85.91;87.3;84.68;90.64;86.2;90.44;96.66;96.48;NA
ALLIANZ - Social Pillar Score;D:ALV(SOSCORE);81.6;82.7;81.35;88.79;86.66;86.54;85.74;81.97;93.98;91.33;NA
ALLIANZ - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:ALV(ENERDP0961);1.53;1.11;0.93;0.91;1.61;1.6;1.61;1.28;1.52;1.29;NA
HERMES INTL. - DIVIDEND YIELD;F:RMS(DY);0.72;0.62;3.15;1.01;1.05;2.42;0.91;0.85;0.84;0.69;0.54
HERMES INTL.;F:RMS(P);145.6;243.5;222.45;247.7;258.05;328.05;369.45;440.8999;491;658.3999;842.8
HERMES INTL. - HISTORICAL VOLATILITY 5 YEARS;400E(F:RMS);0.3505;0.364;0.3678;0.3099;0.2704;0.2283;0.2072;0.1648;0.1811;0.1733;0.2294
HERMES INTL. - RETURN ON EQUITY - TOTAL (%);F:RMS(WC08301);21.4;26.63;31.77;30.57;27.37;27.05;27.09;25.93;26.65;25.39;NA
HERMES INTL. - Environment Pillar Score;F:RMS(ENSCORE);41.3;41.08;41.5;41.54;39.69;53.36;56.64;52.67;52.14;55.06;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
HERMES INTL. - Governance Pillar Score;F:RMS(CGSCORE);55.11;78.83;63.05;57.96;41.23;58.66;52.27;56.8;61.72;58.29;NA
HERMES INTL. - Social Pillar Score;F:RMS(SOSCORE);31.43;38.9;49.78;45.6;36.42;34.35;33.46;46.54;50.26;64.92;NA
HERMES INTL. - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:RMS(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;NA;79.24;64.99;NA
INDITEX - DIVIDEND YIELD;E:IND(DY);2.09;2.46;1.83;1.87;1.32;1.59;1.8;2.29;2.09;3.31;1.27
INDITEX;E:IND(P);11.47;12.99;19.7;23.56;22.045;32.705;31.06;29.755;25.65;27.98;27.53
INDITEX - HISTORICAL VOLATILITY 5 YEARS;400E(E:IND);0.3009;0.306;0.3029;0.2329;0.1978;0.1947;0.1922;0.1861;0.1981;0.1857;0.2991
INDITEX - RETURN ON EQUITY - TOTAL (%);E:IND(WC08301);26.15;29.57;28;29.77;26.87;25.42;26.32;26.17;25.7;24.47;24.62
INDITEX - Environment Pillar Score;E:IND(ENSCORE);84.05;81.66;90.61;92.82;93.68;92.83;94.11;94.79;95.45;95.56;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
INDITEX - Governance Pillar Score;E:IND(CGSCORE);69.55;53.26;76.68;85.08;81.98;81.83;82.71;68.31;82.85;81.76;NA
INDITEX - Social Pillar Score;E:IND(SOSCORE);77.1;77.98;91.81;92.51;98.38;97.65;98.54;97.22;97.19;96.14;NA
INDITEX - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;E:IND(ENERDP0961);2.47;2.45;23.63;23.01;25.28;34.7;53.85;59.88;54.36;58.87;NA
ENEL - DIVIDEND YIELD;I:ENEL(DY);6.25;8.79;9.48;4.55;3.52;3.41;4.65;3.68;6.04;4.37;4.05
ENEL;I:ENEL(P);4.0025;3.184;2.742;3.294;3.694;4.11;3.652;5.295;4.5;6.862;8.089
ENEL - HISTORICAL VOLATILITY 5 YEARS;400E(I:ENEL);0.2688;0.3014;0.3167;0.3235;0.2995;0.2858;0.2489;0.2205;0.1733;0.1449;0.2776
ENEL - RETURN ON EQUITY - TOTAL (%);I:ENEL(WC08301);12.34;10.81;2.29;9.02;1.53;6.88;7.65;10.86;14.4;7;NA
ENEL - Environment Pillar Score;I:ENEL(ENSCORE);85.69;97.1;96.34;95.13;93.76;93.66;90.64;92.35;92.21;92.15;NA
ENEL SPA - RESEARCH & DEVELOPMENT/SALES;I:ENEL(WC08341);0.12;0.13;0.15;0.1;0.1;NA;NA;NA;NA;NA;NA
ENEL SPA - Governance Pillar Score;I:ENEL(CGSCORE);71.91;75.93;68.9;72.99;78.59;79.3;79.23;80.71;82.38;78.48;NA
ENEL SPA - Social Pillar Score;I:ENEL(SOSCORE);87.58;81.54;79.92;82.67;83.17;88.38;93.65;92.4;93.31;92.57;NA
ENEL SPA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:ENEL(ENERDP0961);62;71.58;71.05;73.53;85.46;102.56;100.8;663.97;711.06;656.29;NA
KERING - DIVIDEND YIELD;F:KER(DY);2.87;3.17;2.64;2.28;2.35;2.44;2.05;1.19;1.31;1.92;1.29
KERING;F:KER(P);105.0644;100.8618;121.0981;150.4601;148.6014;152.5511;181.593;358.3997;389.6001;545.8;619.1001
KERING - HISTORICAL VOLATILITY 5 YEARS;400E(F:KER);0.4195;0.4355;0.4384;0.2861;0.2617;0.27;0.2563;0.2406;0.2553;0.2673;0.3552
KERING - RETURN ON EQUITY - TOTAL (%);F:KER(WC08301);9.42;9.16;9.38;0.45;4.98;6.45;7.32;15.38;34;22.88;NA
KERING - Environment Pillar Score;F:KER(ENSCORE);96.88;98.26;98.46;97.86;96.97;97.12;95.66;95.34;95.86;96.08;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
KERING - Governance Pillar Score;F:KER(CGSCORE);48.63;28.81;58.82;58.24;52.53;34.19;39.35;67.41;45.12;41.17;NA
KERING - Social Pillar Score;F:KER(SOSCORE);68.34;78.32;81.52;83.54;85.72;81.02;92.39;92.55;93.29;95.75;NA
KERING - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:KER(ENERDP0961);17.06;11.6;7.83;10.92;14.35;13.38;16.9;20.44;13.33;11.05;NA
UNILEVER - DIVIDEND YIELD;H:UNI(DY);3.71;3.57;3.44;3.64;3.55;2.89;3.44;2.83;3.08;2.98;3.19
UNILEVER;H:UNI(P);22.06;24.28;27.705;28.885;31.655;41.24;36.685;48.03;49.4;53.48;51.48
UNILEVER - HISTORICAL VOLATILITY 5 YEARS;400E(H:UNI);0.2171;0.2207;0.2088;0.1833;0.158;0.1805;0.1818;0.1949;0.1901;0.1792;0.2158
UNILEVER - RETURN ON EQUITY - TOTAL (%);H:UNI(WC08301);31.97;29.55;30.42;32.57;36.94;33.75;32.61;40.38;74.51;45.75;NA
UNILEVER - Environment Pillar Score;H:UNI(ENSCORE);88.49;90.64;94.04;89.94;92.32;85.53;80.97;86.87;86.89;87.39;NA
UNILEVER - RESEARCH & DEVELOPMENT/SALES;H:UNI(WC08341);2.1;2.17;1.95;2.09;1.97;1.89;1.86;1.68;1.77;1.62;NA
UNILEVER - Governance Pillar Score;H:UNI(CGSCORE);82.65;89.79;89.61;49.79;86.86;96.63;91.15;79.84;90.31;95.04;NA
UNILEVER - Social Pillar Score;H:UNI(SOSCORE);85.18;86.64;86.33;91.29;81.19;82.14;85.16;95.2;94.73;95.44;NA
UNILEVER - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;H:UNI(ENERDP0961);NA;NA;842.75;NA;NA;1019.75;1125.48;948.25;1042.95;1029.73;NA
DEUTSCHE TELEKOM - DIVIDEND YIELD;D:DTE(DY);7.79;7.57;8.5;6.26;3.99;3;3.82;3.97;4.31;4.61;4.04
DEUTSCHE TELEKOM;D:DTE(P);10.015;9.241;8.238;11.18;12.519;16.675;14.4;15.115;15.09;15.17;14.85
DEUTSCHE TELEKOM - HISTORICAL VOLATILITY 5 YEARS;400E(D:DTE);0.2146;0.2297;0.2207;0.236;0.2488;0.2619;0.2494;0.2457;0.2147;0.1789;0.2349
DEUTSCHE TELEKOM - RETURN ON EQUITY - TOTAL (%);D:DTE(WC08301);4.56;1.52;-17.17;3.73;11.86;11.87;9.11;11.53;7.03;12.35;NA
DEUTSCHE TELEKOM - Environment Pillar Score;D:DTE(ENSCORE);73.99;80.42;78.46;80.05;83.87;82.59;80.21;81.79;84.23;81.54;NA
DEUTSCHE TELEKOM - RESEARCH & DEVELOPMENT/SALES;D:DTE(WC08341);0.32;0.21;0.11;0.16;0.15;0.16;0.12;0.08;0.08;0.06;NA
DEUTSCHE TELEKOM - Governance Pillar Score;D:DTE(CGSCORE);44.83;47.99;73.51;67.07;63.81;62.57;66.45;52.77;48.91;62.26;NA
DEUTSCHE TELEKOM - Social Pillar Score;D:DTE(SOSCORE);84.55;72.31;74.41;74.29;69.42;85.81;85.15;86.5;87.33;87.94;NA
DEUTSCHE TELEKOM - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:DTE(ENERDP0961);1.09;1.07;46.63;45.99;53.18;85.41;152.27;181.38;166.36;142.01;NA
AIRBUS - DIVIDEND YIELD;F:AIRS(DY);0;1;1.79;1.15;1.55;1.89;2.37;1.58;1.61;1.21;0
AIRBUS;F:AIRS(P);17.19;22;25.17;51.95;48.455;63.46;54.82;85.49;92.89;136.4;90
AIRBUS - HISTORICAL VOLATILITY 5 YEARS;400E(F:AIRS);0.4492;0.4317;0.4351;0.3379;0.3044;0.3275;0.3184;0.2965;0.2658;0.2582;0.4305
AIRBUS - RETURN ON EQUITY - TOTAL (%);F:AIRS(WC08301);5.71;11.68;12.75;13.68;26.14;41.39;20.68;33.79;29.85;-17.35;NA
AIRBUS - Environment Pillar Score;F:AIRS(ENSCORE);83.97;93.03;96.34;94.43;95.3;96.73;97.79;95.78;95.44;94.65;NA
AIRBUS - RESEARCH & DEVELOPMENT/SALES;F:AIRS(WC08341);6.42;6.42;5.56;5.33;5.59;5.37;4.46;4.2;5.05;4.76;NA
AIRBUS - Governance Pillar Score;F:AIRS(CGSCORE);32.25;32.8;43.86;45.06;43.91;60.7;46.24;35.13;60.18;57.63;NA
AIRBUS - Social Pillar Score;F:AIRS(SOSCORE);80.88;76.76;85.46;81.41;76.75;76.31;75.18;85.75;85.48;84.7;NA
AIRBUS - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:AIRS(ENERDP0961);NA;18.87;3.35;NA;NA;NA;NA;NA;NA;NA;NA
DAIMLER - DIVIDEND YIELD;D:DAI(DY);0;5.7;6.17;3.75;3.68;3.21;5.02;4.67;7.2;6.43;1.68
DAIMLER;D:DAI(P);49.565;32.43;35.658;58.733;61.193;76.258;64.796;69.576;50.7;50.52;53.51
DAIMLER - HISTORICAL VOLATILITY 5 YEARS;400E(D:DAI);0.3585;0.3986;0.3997;0.3336;0.3313;0.3373;0.2839;0.244;0.2195;0.2343;0.396
DAIMLER - RETURN ON EQUITY - TOTAL (%);D:DAI(WC08301);13.5;14.91;14.6;15.81;16.13;17.33;15.29;17.26;11.28;3.77;NA
DAIMLER - Environment Pillar Score;D:DAI(ENSCORE);91.17;90.73;91.43;91.63;87.66;92.41;87.32;92.77;92.87;96.33;NA
DAIMLER AG - RESEARCH & DEVELOPMENT/SALES;D:DAI(WC08341);3.55;3.91;3.64;3.46;3.46;3.16;3.41;3.56;3.89;3.79;NA
DAIMLER AG - Governance Pillar Score;D:DAI(CGSCORE);81.83;83.01;93.05;92.44;85.57;87.98;91.47;84.91;86.53;95.05;NA
DAIMLER AG - Social Pillar Score;D:DAI(SOSCORE);93.35;95.38;97.87;97.99;96.53;96.09;96.04;95.44;95.34;88.95;NA
DAIMLER AG - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:DAI(ENERDP0961);237.54;319.11;1.03;259.99;300.76;343.09;445.8;363.09;413.34;NA;NA
IBERDROLA - DIVIDEND YIELD;E:IBE(DY);5.59;7;8.68;6.07;4.93;4.2;5.17;4.84;5.04;4.17;3.52
IBERDROLA;E:IBE(P);3.4635;3.012;2.6324;3.462;4.2314;5.1724;4.6712;5.714;6.1335;8.4672;11.35
IBERDROLA - HISTORICAL VOLATILITY 5 YEARS;400E(E:IBE);0.2647;0.2665;0.2677;0.2471;0.2411;0.219;0.2017;0.1563;0.1328;0.1348;0.2131
IBERDROLA - RETURN ON EQUITY - TOTAL (%);E:IBE(WC08301);10.31;9.05;8.52;7.53;6.68;6.72;7.33;7.77;8.36;9.17;NA
IBERDROLA - Environment Pillar Score;E:IBE(ENSCORE);92.5;93.36;93.64;93.37;89.77;90.66;88.56;92.1;91.67;92.24;NA
IBERDROLA - RESEARCH & DEVELOPMENT/SALES;E:IBE(WC08341);NA;NA;NA;NA;NA;NA;NA;NA;NA;0.77;NA
IBERDROLA - Governance Pillar Score;E:IBE(CGSCORE);63.48;76.35;77.11;71.92;81.84;80.88;72.23;76.73;68.64;56.14;NA
IBERDROLA - Social Pillar Score;E:IBE(SOSCORE);85.89;85.25;79.07;82.48;88.31;89.83;90.12;90.96;90.04;90.01;NA
IBERDROLA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;E:IBE(ENERDP0961);577.17;649.13;647.58;2796.56;2723.59;824.32;606.51;1500.2;1268.1;1200.5;NA
SCHNEIDER ELECTRIC - DIVIDEND YIELD;F:QT@F(DY);2.02;4.04;3.52;3.03;3.03;3.4;3.23;2.85;3.44;2.89;2.17
SCHNEIDER ELECTRIC;F:QT@F(P);50.65;39.615;48.335;61.66;61.74;56.44;61.95;71.49;63.96;88.14;117.5
SCHNEIDER ELECTRIC - HISTORICAL VOLATILITY 5 YEARS;400E(F:QT@F);0.3231;0.3363;0.3551;0.2813;0.2674;0.2695;0.2559;0.2127;0.2003;0.2032;0.2487
SCHNEIDER ELECTRIC - RETURN ON EQUITY - TOTAL (%);F:QT@F(WC08301);12.97;11.86;11.32;11.15;10.51;6.93;8.47;10.67;11.5;11.4;NA
SCHNEIDER ELECTRIC - Environment Pillar Score;F:QT@F(ENSCORE);77.88;57.6;55.17;58.11;57.4;60.56;59.55;59.88;63.39;66.73;NA
SCHNEIDER ELECTRIC - RESEARCH & DEVELOPMENT/SALES;F:QT@F(WC08341);2.63;3.87;3.86;4.86;4.86;3.38;3.75;3.57;3.83;3.92;NA
SCHNEIDER ELECTRIC - Governance Pillar Score;F:QT@F(CGSCORE);56.99;63.84;79.82;74.01;67.26;47.59;50;43.52;66.9;42.93;NA
SCHNEIDER ELECTRIC - Social Pillar Score;F:QT@F(SOSCORE);62.3;63.36;62.07;64.44;63.77;82.17;84;84.05;82.79;84.78;NA
SCHNEIDER ELECTRIC - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:QT@F(ENERDP0961);22.04;40.45;13.66;15.05;16.41;20.47;22.12;22.18;23.11;20.65;NA
CHRISTIAN DIOR - DIVIDEND YIELD;F:CDI(DY);1.97;2.3;2.42;1.75;2.13;1.83;2.03;1;1.61;1.32;1.09
